    time     gap  src>dst   cmd   reg   len  ok
   6.949  100.6ms  20>21     64    00    6    ok
   6.999   50.3ms  21>20     65    00    5    ok
   6.999    0.0ms  21>20     65    00    5    ok
   6.999    0.0ms  21>20     65    00    5    ok
   7.049   50.2ms  21>20     65    00    5    ok
   7.049  100.5ms  21>20     64    00    7    ok
   7.049  100.5ms  20>21     64    00    6    ok
   7.099   50.2ms  21>20     65    00    5    ok
   7.099    0.0ms  21>20     65    00    5    ok
   7.099    0.0ms  21>20     65    00    5    ok
   7.150   50.4ms  21>20     65    00    5    ok
   7.150  100.7ms  21>20     64    00    7    ok
   7.150  100.6ms  20>21     64    00    6    ok
   7.200   50.5ms  21>20     65    00    5    ok
   7.200    0.0ms  21>20     65    00    5    ok
   7.200    0.0ms  21>20     65    00    5    ok
   7.252   51.2ms  21>20     65    00    5    ok
   7.252  101.7ms  21>20     64    00    7    ok
   7.252  101.7ms  20>21     64    00    6    ok
   7.302   50.9ms  21>20     65    00    5    ok
   7.303    0.0ms  21>20     65    00    5    ok
   7.303    0.0ms  21>20     65    00    5    ok
   7.353   50.4ms  21>20     65    00    5    ok
   7.353  101.3ms  21>20     64    00    7    ok
   7.353  101.3ms  20>21     64    00    6    ok
   7.403   50.6ms  21>20     65    00    5    ok
   7.404    0.0ms  21>20     65    00    5    ok
   7.404    0.0ms  21>20     65    00    5    ok
   7.455   51.6ms  21>20     65    00    5    ok
   7.455  102.2ms  21>20     64    00    7    ok
   7.455  102.2ms  20>21     64    00    6    ok
   7.507   51.6ms  21>20     65    00    5    ok
   7.507    0.0ms  21>20     65    00    5    ok
   7.507    0.0ms  21>20     65    00    5    ok
   7.557   50.5ms  21>20     65    00    5    ok
   7.557  102.2ms  21>20     64    00    7    ok
   7.557  102.2ms  20>21     64    00    6    ok
   7.610   52.2ms  21>20     65    00    5    ok
   7.610    0.0ms  21>20     65    00    5    ok
   7.610    0.0ms  21>20     65    00    5    ok
   7.660   50.2ms  21>20     65    00    5    ok
   7.660  102.4ms  21>20     64    00    7    ok
   7.660  102.4ms  20>21     64    00    6    ok
   7.660    0.0ms  21>20     65    00    5    ok
   7.710   50.2ms  21>20     65    00    5    ok
   7.710    0.0ms  21>20     65    00    5    ok
   7.760   50.2ms  21>20     65    00    5    ok
   7.760  100.5ms  21>20     64    00    7    ok
   7.760  100.5ms  20>21     64    00    6    ok
   7.760    0.1ms  21>20     65    00    5    ok
   7.813   52.6ms  21>20     65    00    5    ok
   7.813    0.0ms  21>20     65    00    5    ok
   7.864   50.7ms  21>20     65    00    5    ok
   7.864  103.4ms  21>20     64    00    7    ok
   7.864  103.4ms  20>21     64    00    6    ok
   7.864    0.1ms  21>20     65    00    5    ok
   7.915   51.4ms  21>20     65    00    5    ok
   7.915    0.0ms  21>20     65    00    5    ok
   7.967   51.4ms  21>20     65    00    5    ok
   7.967  102.9ms  21>20     64    00    7    ok
   7.967  102.9ms  20>21     64    00    6    ok
   7.967    0.1ms  21>20     65    00    5    ok
   8.019   52.6ms  21>20     65    00    5    ok
   8.019    0.0ms  21>20     65    00    5    ok
   8.072   52.5ms  21>20     65    00    5    ok
   8.072  105.2ms  21>20     64    00    7    ok
   8.072  105.2ms  20>21     64    00    6    ok
   8.072    0.1ms  21>20     65    00    5    ok
   8.122   50.2ms  21>20     65    00    5    ok
   8.122    0.0ms  21>20     65    00    5    ok
   8.122    0.0ms  21>20     65    00    5    ok
   8.175  103.3ms  21>20     64    00    7    ok
   8.175  103.3ms  20>21     64    00    6    ok
   8.175   53.1ms  21>20     65    00    5    ok
   8.226   51.1ms  21>20     65    00    5    ok
   8.226    0.0ms  21>20     65    00    5    ok
   8.226    0.0ms  21>20     65    00    5    ok
   8.280  104.9ms  21>20     64    00    7    ok
   8.280  104.9ms  20>21     64    00    6    ok
   8.280   53.8ms  21>20     65    00    5    ok
   8.331   51.5ms  21>20     65    00    5    ok
   8.331    0.0ms  21>20     65    00    5    ok
   8.331    0.0ms  21>20     65    00    5    ok
   8.382  102.0ms  21>20     64    00    7    ok
   8.382  102.0ms  20>21     64    00    6    ok
   8.382   50.4ms  21>20     65    00    5    ok
   8.382    0.0ms  21>20     65    00    5    ok
   8.435   53.0ms  21>20     65    00    5    ok
   8.435    0.0ms  21>20     65    00    5    ok
   8.486  104.3ms  21>20     64    00    7    ok
   8.486  104.3ms  20>21     64    00    6    ok
   8.486   51.3ms  21>20     65    00    5    ok
   8.486    0.0ms  21>20     65    00    5    ok
   8.540   53.9ms  21>20     65    00    5    ok
   8.540    0.0ms  21>20     65    00    5    ok
   8.593  106.5ms  21>20     64    00    7    ok
   8.593  106.5ms  20>21     64    00    6    ok
   8.593   52.6ms  21>20     65    00    5    ok
   8.593    0.0ms  21>20     65    00    5    ok
   8.643   50.6ms  21>20     65    00    5    ok
   8.643    0.0ms  21>20     65    00    5    ok
   8.643   50.7ms  21>20     64    00    7    ok
   8.697  103.9ms  20>21     64    00    6    ok
